paper number,DOI,year,deposited_material (accurate),deposited_material,deposited_material(elements),RE,WE,WE(element),Electrolyte,El_conc,A_concentration,scan_rate,pH,Pot_Onset_V(E_used),Pot_Ox_V(E_used),current_density,onset_pot,ox_pot,ox_onset
1,https://doi.org/10.1016/j.jece.2019.102922,2019,"Pt0,5_Ni0,5_Oy/Ti",Pt_Ni_O,Pt_Ni_O,RHE,Ti,Ti,NaOH,1,1,10,"13,79","0,42","1,04","42,7","-0,406","0,214","0,62"
2,https://doi.org/10.1002/celc.201402291,2014,Ptt,Pt,Pt,RHE,Pt,Pt,H2SO4,"0,5","0,2",50,"0,59","0,68","0,84","0,425","0,64519","0,80519","0,16"
3,https://doi.org/10.20964/2018.10.03,2018,NiCo2O4/G,Ni_Co_O_G,Ni_Co_O_C,SCE,GE,C,KOH,1,1,5,"13,79","0,232","0,4",55,"0,476","0,644","0,168"
3,https://doi.org/10.20964/2018.10.03,2018,Au(20wt%)/G,Au_G,Au_C,SCE,GE,C,KOH,1,1,5,"13,79","-0,412","0,13","24,52","-0,168","0,374","0,542"
3,https://doi.org/10.20964/2018.10.03,2018,Au/NiCo2O4(wt 6:1)/HPG,Au_Ni_Co_O_G,Au_Ni_Co_O_C,SCE,GE,C,KOH,1,1,5,"13,79","-0,52","0,088","99,2","-0,276","0,332","0,608"
4,https://doi.org/10.1016/j.matpr.2017.12.386,2017,Pd/C,Pd_C,Pd_C,Ag/AgCl,GCD,C,KOH,"0,5",1,50,"13,89","-0,332","-0,06","9,18","-0,133","0,139","0,272"
4,https://doi.org/10.1016/j.matpr.2017.12.386,2017,Pd-Au/C cored,Pd_Au,Pd_Au,Ag/AgCl,GCD,C,KOH,"0,5",1,50,"13,89","-0,398","0,07","52,1","-0,199","0,269","0,468"
4,https://doi.org/10.1016/j.matpr.2017.12.386,2017,Au/C,Au_C,Au_C,Ag/AgCl,GCD,C,KOH,"0,5",1,50,"13,89","-0,243","0,4","40,4","-0,044","0,599","0,643"
5,https://doi.org/10.1039/c9ra09896h,2020,Pt� NiCo2O4 (wt 10 : 1)/HPG,Pt_Ni_Co_O_G,Pt_Ni_Co_O_C,SCE,GE,C,KOH,1,1,5,"13,79","-0,648","-0,35","52,36","-0,404","-0,106","0,298"
5,https://doi.org/10.1039/c9ra09896h,2020,Pt (30 wt%)/HPG,Pt_G,Pt_C,SCE,GE,C,KOH,1,1,5,"13,79","-0,623","-0,315","35,78","-0,379","-0,071","0,308"
6,https://doi.org/10.1007/s12678-022-00754-2,2022,Ni66Ag34/rGO,Ni_Ag_rGO,Ni_Ag_O_C,Ag/AgCl,GCE,C,NaOH,1,"0,1",20,"12,71","0,25","0,534","62,9","0,449","0,733","0,284"
5,https://doi.org/10.1039/c9ra09896h,2020,"Pt/C (E-TEK, 30%wt)",Pt_C,Pt,SCE,GCD,Pt,KOH,1,1,5,"13,79","-0,571","-0,285","18,42","-0,327","-0,041","0,286"
7,https://doi.org/10.55730/1300-0527.3506,2022,Pd/C(20 wt.% Pd),Pd_C,Pd_C,Ag/AgCl,GCD,Pd_C,KOH,"0,5","0,5",50,"13,56","-0,368","-0,0375","8,56","-0,169","0,1615","0,3305"
6,https://doi.org/10.1007/s12678-022-00754-2,2022,Ni66Ag34/rGO,Ni_Ag_rGO,Ni_Ag_O_C,Ag/AgCl,GCE,C,NaOH,"0,34","0,1",20,"12,88","0,385","0,835","47,9","0,584","1,034","0,45"
7,https://doi.org/10.55730/1300-0527.3506,2022,PdCu150,Pd_Cu,Pd_Cu,Ag/AgCl,GCE,C,KOH,"0,5","0,5",50,"13,56","-0,5","0,048","36,02","-0,301","0,247","0,548"
6,https://doi.org/10.1007/s12678-022-00754-2,2022,Ni66Ag34/rGO,Ni_Ag_rGO,Ni_Ag_O_C,Ag/AgCl,GCE,C,NaOH,1,"0,2",20,"13,02","0,25","0,652","91,67","0,449","0,851","0,402"
6,https://doi.org/10.1007/s12678-022-00754-2,2022,Ni66Ag34/rGO,Ni_Ag_rGO,Ni_Ag_O_C,Ag/AgCl,GCE,C,NaOH,1,"0,3",20,"13,21","0,25","0,744","115,28","0,449","0,943","0,494"
6,https://doi.org/10.1007/s12678-022-00754-2,2022,Ni66Ag34/rGO,Ni_Ag_rGO,Ni_Ag_O_C,Ag/AgCl,GCE,C,NaOH,1,"0,5",20,"13,45","0,25","0,773","129,17","0,449","0,972","0,523"
6,https://doi.org/10.1007/s12678-022-00754-2,2022,Ni66Ag34/rGO,Ni_Ag_rGO,Ni_Ag_O_C,Ag/AgCl,GCE,C,NaOH,1,"0,4",20,"13,34","0,25","0,774","125,14","0,449","0,973","0,524"
8,https://doi.org/10.1007/s10853-022-07471-7,2022,an-AT,Au_Ti_O,Ti_O_Au,Ag/AgCl,SELF,Ti_O,NaOH,"0,1","0,5",50,"13,67","-0,15","0,6","13,956","0,049","0,799","0,75"
8,https://doi.org/10.1007/s10853-022-07471-7,2022,an-ACT,Au_Cu_Ti_O,Ti_O_Au_Cu,Ag/AgCl,SELF,Ti_O,NaOH,"0,1","0,5",50,"13,67","-0,087","0,3","4,56","0,112","0,499","0,387"
9,https://doi.org/10.1039/C9NR10084A,2020,Pd/C,Pd_C,Pd_C,Ag/AgCl,GCE,Pd_C,KOH,1,1,50,"13,79","-0,34","-0,15","4,04","-0,141","0,049","0,19"
9,https://doi.org/10.1039/C9NR10084A,2020,Pd NSA,Pd,Pd,Ag/AgCl,GCE,C,KOH,1,1,50,"13,79","-0,4","-0,142","2,89","-0,201","0,057","0,258"
9,https://doi.org/10.1039/C9NR10084A,2020,PdSn NSA,Pd_Sn,Pd_Sn,Ag/AgCl,GCE,C,KOH,1,1,50,"13,79","-0,4","-0,11","5,57","-0,201","0,089","0,29"
9,https://doi.org/10.1039/C9NR10084A,2020,PdBi NSA,Pd_Bi,Pd_Bi,Ag/AgCl,GCE,C,KOH,1,1,50,"13,79","-0,32","-0,01","7,87","-0,121","0,189","0,31"
9,https://doi.org/10.1039/C9NR10084A,2020,PdGa NSA,Pd_Ga,Pd_Ga,Ag/AgCl,GCE,C,KOH,1,1,50,"13,79","-0,4","-0,084","5,06","-0,201","0,115","0,316"
9,https://doi.org/10.1039/C9NR10084A,2020,PdIn NSA,Pd_In,Pd_In,Ag/AgCl,GCE,C,KOH,1,1,50,"13,79","-0,4","-0,048","5,6","-0,201","0,151","0,352"
